Number_1,Number_2,Number_3,Number_4,Number_5,Number_6,Number_7
71,61,53,73,24,18,19
84,79,24,98,51,32,84
62,62,88,96,96,95,85
75,30,38,60,4,53,93
91,8,3,2,65,84,18
72,66,86,36,24,27,76
95,57,73,60,58,7,72
20,47,34,72,56,64,90
73,60,16,52,63,52,75
9,51,59,25,81,76,90
10,18,56,1,39,2,9
14,42,10,73,23,1,14
86,31,95,23,22,28,61
72,13,39,87,68,98,1
57,31,15,61,32,13,91
7,45,13,44,25,25,40
93,54,57,26,88,46,93
28,43,43,72,50,96,96
67,55,84,84,11,30,55
69,13,54,66,31,47,17
17,64,82,85,13,1,35
78,15,39,41,49,71,58
62,42,69,79,21,16,27
75,73,79,27,23,44,99
9,14,84,29,50,30,90
21,55,80,26,54,54,96
77,29,6,97,82,81,61
65,71,78,90,99,87,16
42,9,43,81,82,48,86
64,40,33,6,14,50,98
83,84,97,54,18,54,13
79,30,22,14,66,92,93
98,84,42,58,6,59,34
36,84,74,82,37,82,45
32,36,89,61,92,71,50
6,75,63,87,30,90,36
70,26,81,58,66,74,69
94,50,41,25,12,16,87
13,77,64,65,21,4,59
10,77,66,7,86,24,8
21,54,96,63,72,33,3
75,38,43,54,70,82,6
16,34,60,55,16,43,93
92,78,80,91,72,9,62
78,55,11,31,90,32,86
64,30,94,49,43,91,67
49,90,54,6,28,98,73
30,39,30,69,64,79,73
68,94,9,34,51,86,41
92,82,10,81,29,60,98
49,86,66,64,8,45,10
13,36,35,87,23,36,11
24,18,13,3,35,71,14
4,67,91,54,17,94,66
53,77,84,64,29,32,31
17,80,89,88,13,16,59
96,72,55,1,16,29,68
47,1,63,85,61,52,94
6,64,89,28,18,58,53
80,60,94,16,67,44,39
5,45,20,17,30,28,35
40,94,77,23,4,80,26
71,6,49,37,34,79,35
41,65,84,65,71,84,22
50,37,25,93,72,43,30
53,30,65,96,90,8,78
26,38,55,21,54,40,49
87,38,29,21,20,82,68
58,29,66,76,35,64,85
83,52,43,3,89,82,14
69,51,22,7,87,67,53
54,84,76,20,71,44,31
90,64,27,91,39,95,14
2,70,45,19,10,99,50
42,7,71,44,31,44,24
21,33,6,58,62,14,66
81,24,90,80,44,39,46
84,64,34,55,87,34,18
21,67,1,33,29,55,34
29,61,1,37,44,16,23
2,6,20,22,9,95,36
3,60,79,49,84,62,88
8,1,63,60,15,40,30
67,76,44,40,7,49,87
83,56,85,58,13,21,38
33,40,4,53,25,18,56
67,44,44,27,50,63,72
72,96,37,58,32,75,5
20,3,75,83,85,30,2
24,55,64,92,55,46,49
42,41,72,61,51,12,81
14,93,85,89,76,53,98
68,6,13,38,24,31,6
34,79,37,78,51,26,14
60,90,15,71,66,10,81
52,50,27,59,68,45,19
69,21,84,72,96,97,63
76,76,30,15,74,17,37
98,44,93,27,18,19,6
4,46,36,52,38,55,61
51,9,41,94,63,32,53
39,3,90,78,11,72,82
82,42,66,68,10,87,71
96,86,21,86,47,21,51
80,96,16,91,91,72,91
78,6,27,81,97,77,64
13,97,64,14,9,6,45
35,64,6,55,80,35,82
48,34,94,12,24,60,25
35,97,48,98,77,41,9
19,82,89,79,31,93,28
25,84,78,85,19,38,6
6,78,61,8,67,39,80
10,11,18,27,79,51,72
68,95,10,80,33,45,35
37,3,35,67,77,68,3
88,29,20,75,5,64,19
37,12,49,13,8,3,54
83,43,45,64,20,1,94
59,45,75,91,98,4,18
36,27,59,63,56,32,73
96,68,24,58,74,30,51
8,50,13,46,83,72,75
71,69,75,26,85,19,5
23,19,49,42,63,66,25
22,11,59,19,34,32,12
86,61,5,1,30,44,60
91,95,13,76,40,21,89
33,74,95,48,97,44,91
78,82,72,32,87,58,97
2,5,76,95,55,15,20
36,57,10,41,86,93,94
1,75,27,88,85,98,48
22,34,22,52,5,75,97
1,13,26,66,26,35,68
12,23,44,70,4,35,80
22,75,38,56,97,14,33
71,29,33,97,96,66,63
67,9,63,93,33,36,90
34,29,28,88,61,1,76
21,20,30,49,82,37,22
95,39,42,42,47,16,23
98,51,2,36,86,38,42
81,59,21,1,32,52,60
52,93,94,50,51,58,49
66,76,87,17,23,99,49
36,8,16,13,92,46,86
35,77,5,64,6,99,87
47,56,59,55,44,40,11
82,38,95,32,9,86,27
9,93,25,31,12,32,73
85,24,32,27,25,80,30
74,20,33,60,36,38,67
53,73,26,53,39,70,53
73,29,59,40,54,98,12
92,97,83,20,75,54,78
95,85,61,88,79,98,65
41,51,39,65,69,84,22
76,90,88,20,35,61,96
6,56,67,49,79,28,30
29,43,94,41,11,52,83
80,57,87,62,38,10,10
2,25,14,14,76,90,61
18,14,27,26,13,73,48
56,73,62,66,8,49,53
39,94,38,20,58,53,97
13,94,64,32,68,45,36
93,27,40,66,76,48,13
82,29,41,7,18,34,5
6,66,2,28,78,1,73
87,68,53,46,59,55,76
8,17,66,37,96,29,13
4,22,52,58,66,95,33
26,2,87,30,60,95,83
99,42,63,73,22,75,32
72,36,34,37,67,1,44
40,79,78,84,57,93,57
9,70,51,93,71,27,29
61,60,64,24,31,98,61
47,49,99,89,34,23,57
55,67,64,21,36,81,74
87,45,76,34,81,64,25
52,59,68,7,63,89,97
92,33,52,21,51,22,27
90,32,2,94,71,3,66
68,1,56,2,65,24,7
78,71,62,83,70,95,77
74,59,80,36,73,25,23
94,65,29,4,5,40,56
8,39,37,4,2,5,67
30,20,19,42,33,8,36
91,7,77,65,98,74,31
7,19,75,50,32,37,61
79,85,48,20,99,71,98
58,30,56,94,81,4,24
39,47,90,6,1,70,61
7,65,91,56,68,66,77
30,7,40,11,44,84,4
86,89,42,7,52,18,15
94,52,40,67,98,42,12
84,94,61,70,4,81,51
61,15,81,65,57,40,10
41,11,5,59,92,96,47
14,51,16,88,94,5,45
28,53,50,77,77,27,1
40,97,28,74,81,62,74
73,43,15,50,75,23,7
40,47,89,85,40,73,68
91,5,49,46,18,17,17
27,12,93,82,18,89,50
23,33,20,40,79,95,83
23,7,36,50,8,63,94
58,81,94,92,83,35,75
95,45,39,49,10,47,62
30,51,2,50,89,54,57
84,15,96,89,35,36,5
65,45,93,58,47,95,51
41,95,6,79,68,41,42
55,79,57,64,15,85,64
21,79,16,64,83,61,55
55,92,90,12,85,7,43
15,87,45,81,14,25,9
41,31,34,11,28,13,37
71,73,39,44,19,30,7
70,74,29,14,20,51,48
76,19,17,18,54,22,20
65,7,75,18,74,69,31
19,37,70,94,66,14,20
37,76,81,10,8,53,71
81,8,44,43,12,40,16
21,55,69,3,26,30,74
40,68,1,40,75,16,99
55,40,82,45,3,32,17
79,70,74,60,98,91,47
18,10,97,15,31,42,34
12,20,5,42,68,92,95
19,41,33,75,99,21,29
89,65,28,6,64,96,67
15,20,61,7,61,81,94
68,86,18,4,29,92,37
74,62,69,80,44,58,63
3,8,23,6,46,11,41
5,63,75,54,28,20,5
25,9,58,32,7,36,68
1,56,47,29,10,84,49
67,44,2,33,40,31,83
26,29,43,48,14,97,53
81,57,48,76,86,36,49
49,85,6,64,44,58,68
20,37,69,27,31,20,31
7,6,90,88,50,31,46
6,44,64,79,55,51,5
8,81,48,67,89,99,79
65,56,19,51,2,15,49
39,45,30,75,55,77,14
94,22,56,3,41,87,74
34,13,46,7,13,72,99
17,99,80,17,9,42,17
81,10,76,75,16,62,29
19,86,27,13,66,67,42
10,23,85,62,20,79,42
2,14,63,4,67,81,79
86,63,59,33,87,59,49
21,2,86,39,4,75,70
54,59,47,52,82,11,12
92,68,8,66,72,16,34
26,28,88,91,39,76,18
84,49,6,88,96,13,73
73,58,47,88,51,64,54
25,47,35,32,50,98,16
9,95,8,60,43,30,7
19,39,93,39,57,65,76
99,75,57,84,83,76,91
30,9,26,14,39,61,27
42,81,64,60,25,33,19
40,93,63,37,60,50,86
54,29,59,16,11,50,85
63,67,2,67,83,56,7
43,15,5,8,1,51,57
10,12,34,40,58,77,4
90,34,34,75,83,14,52
38,70,51,27,71,77,11
26,40,90,13,70,87,36
6,2,44,46,14,89,30
11,39,28,23,66,8,33
37,54,49,28,98,3,4
52,82,29,68,65,81,95
3,62,38,70,82,27,69
15,30,23,30,35,8,57
7,94,46,52,33,56,44
62,66,52,9,73,57,91
11,75,16,9,99,60,54
30,51,86,61,40,86,79
13,56,72,72,51,33,2
88,50,45,99,37,31,40
51,11,17,37,13,47,4
50,34,39,77,59,18,84
29,71,43,44,83,12,29
8,55,7,39,34,20,33
59,13,45,20,35,8,58
13,75,96,95,71,16,42
39,35,59,40,24,26,7
58,99,65,71,12,89,22
83,81,69,24,93,85,69
40,97,28,51,62,5,26
74,24,18,76,60,38,82
1,45,59,94,81,22,42
88,42,97,48,92,2,92
13,26,73,68,10,47,51
23,79,57,43,39,61,90
22,92,73,37,60,72,69
60,43,3,7,33,41,35
71,24,7,51,81,42,1
90,85,71,8,36,22,38
46,8,21,44,47,15,50
43,44,77,95,84,20,36
35,33,3,4,90,86,71
64,33,48,1,27,25,50
29,36,59,87,63,30,31
66,89,64,76,94,70,74
13,35,73,63,83,58,42
32,26,77,26,18,54,27
82,95,40,60,40,34,51
48,24,81,33,27,65,42
81,29,16,14,70,78,45
61,70,54,58,91,10,77
3,89,73,94,3,50,55
32,66,2,38,21,94,87
56,53,69,39,67,97,13
82,73,63,12,37,46,50
2,87,30,40,69,18,82
10,40,17,29,12,1,65
30,4,5,46,70,70,28
62,85,72,39,51,1,93
60,38,63,33,3,22,16
90,41,52,54,34,65,80
61,35,23,10,49,73,57
52,54,92,75,37,16,69
74,81,73,5,60,63,65
35,92,26,25,92,53,83
3,87,73,9,94,69,73
79,71,73,89,32,53,21
88,96,57,80,34,99,33
32,5,65,20,56,98,17
60,42,92,11,83,10,99
66,62,57,98,85,91,90
43,72,12,46,52,50,26
95,9,37,65,4,87,49
43,58,86,19,79,70,78
52,77,53,26,67,52,43
64,32,34,44,74,13,31
34,44,27,76,60,51,53
5,77,12,40,82,90,32
98,70,2,73,18,53,76
24,83,81,85,88,75,94
86,11,10,86,54,29,58
5,49,69,24,70,43,81
32,83,53,96,51,72,19
23,66,83,92,34,51,14
73,61,40,18,96,17,85
75,62,89,72,68,52,64
64,99,61,48,73,3,41
45,58,35,4,28,61,46
59,36,79,59,74,98,21
13,47,15,36,15,72,20
60,53,12,86,45,16,83
96,48,2,95,93,28,94
86,52,75,8,18,86,83
56,32,4,73,36,15,45
81,40,81,88,27,53,5
37,91,48,16,22,59,85
29,32,38,26,89,17,72
44,99,79,94,76,35,66
84,56,50,83,27,90,66
76,99,15,25,41,32,89
33,78,81,63,31,6,85
64,54,85,94,51,27,15
78,57,11,89,61,56,34
53,21,45,24,68,70,6
21,21,90,45,75,52,33
45,21,72,26,22,35,28
32,65,30,91,21,50,46
20,16,74,16,58,28,79
52,9,10,6,52,73,51
78,18,34,52,31,15,93
97,38,94,85,29,80,2
13,97,52,29,89,1,25
21,62,52,70,47,48,61
31,61,40,8,71,61,81
48,29,79,43,26,85,29
64,72,12,44,87,21,18
97,94,88,47,24,7,96
28,22,20,65,42,95,41
90,2,10,84,46,82,85
12,7,76,78,89,34,49
40,67,27,43,89,19,19
7,64,90,67,27,63,2
34,36,2,9,1,70,35
20,2,30,72,10,96,44
14,44,31,62,51,6,33
61,14,77,31,41,33,95
23,64,94,43,81,45,74
43,33,90,99,8,39,97
56,46,43,31,14,67,28
66,81,72,21,34,89,26
23,60,80,58,17,29,72
55,95,69,53,40,39,96
59,21,19,5,75,44,80
71,55,62,45,42,17,86
57,70,26,26,42,7,65
14,48,42,68,90,97,75
40,62,4,54,77,94,60
77,91,72,89,9,30,59
43,25,32,49,11,73,35
20,15,63,95,45,4,82
46,52,89,84,47,14,6
83,33,43,48,73,41,42
33,49,33,24,50,54,40
92,35,41,89,71,64,93
48,18,85,10,41,53,38
23,79,86,83,42,23,66
84,80,62,85,15,6,59
2,63,32,91,88,94,81
94,32,90,48,50,87,85
88,62,5,82,83,41,50
82,81,95,13,82,54,81
59,47,18,53,58,37,9
38,65,7,16,74,18,56
4,25,49,16,34,86,62
4,23,16,23,42,9,86
70,96,74,28,12,84,85
90,52,60,80,6,25,72
72,43,27,54,12,26,5
3,24,89,4,8,1,57
71,13,41,87,74,52,78
38,68,40,96,51,39,86
25,65,62,96,9,24,7
21,29,93,93,85,58,57
44,87,66,37,54,34,83
81,22,70,87,46,18,12
98,69,77,7,84,93,41
68,57,5,70,91,59,63
45,71,96,29,63,22,92
61,95,5,83,80,66,79
70,77,71,73,10,20,63
70,98,49,55,17,33,2
22,13,49,13,88,57,2
25,79,51,17,21,22,73
21,39,84,39,38,67,19
53,65,86,71,47,92,81
14,70,84,78,9,2,72
87,60,30,89,94,18,14
73,33,24,21,6,61,40
60,81,20,76,80,48,16
7,67,73,90,9,75,13
9,46,60,71,54,26,38
75,99,83,83,26,60,8
41,56,67,72,72,57,7
98,71,22,39,50,33,24
96,49,57,58,38,61,55
22,5,76,71,36,43,79
16,45,75,93,72,2,19
66,83,20,72,53,22,77
34,87,86,92,90,15,16
24,19,96,89,61,87,82
15,2,55,7,61,44,71
7,70,99,21,80,6,52
10,40,45,47,8,20,14
10,19,47,17,79,5,90
4,47,53,99,78,87,54
95,40,46,99,5,62,38
90,41,14,39,27,67,88
81,66,8,50,31,31,78
59,97,7,57,53,57,5
31,19,48,10,2,45,61
73,48,10,28,53,78,46
4,89,16,89,6,45,29
85,8,67,5,58,95,77
52,48,20,22,39,59,66
12,13,15,51,24,38,39
75,95,23,53,47,41,46
40,53,4,80,73,74,5
50,40,58,17,68,64,67
42,74,54,30,98,73,20
48,43,95,56,1,21,18
51,55,16,13,28,84,26
23,50,92,22,13,16,16
52,5,37,24,88,59,82
99,68,10,71,72,84,83
11,4,69,12,69,3,99
53,97,53,38,36,5,9
79,89,41,65,61,29,65
58,23,87,8,73,68,8
68,74,74,69,59,23,36
16,29,99,35,32,69,92
43,59,30,36,41,98,87
82,49,62,28,36,84,95
55,29,82,19,23,89,4
54,84,82,37,77,21,37
87,49,8,21,14,40,19
20,97,4,18,48,63,23
92,67,37,97,27,69,27
68,65,65,34,30,92,1
10,19,26,44,79,35,66
66,73,20,51,83,94,53
77,8,81,61,25,43,10
59,25,15,78,44,88,41
15,96,94,76,18,51,16
39,3,46,86,25,59,17
9,52,90,82,17,66,16
17,95,8,67,3,80,69
85,15,97,48,85,14,72
10,77,90,20,18,80,59
2,5,79,28,52,45,95
91,20,44,84,18,45,18
17,9,54,52,87,67,56
45,96,27,40,51,51,79
39,77,66,20,71,83,11
16,34,87,29,69,80,65
83,69,76,40,18,1,86
52,49,66,68,56,7,4
49,9,52,82,48,52,21
33,19,71,30,9,76,81
69,74,63,57,53,81,50
73,77,14,45,75,7,71
62,32,17,6,5,59,56
53,77,22,42,79,91,90
86,57,7,31,70,24,88
64,46,14,23,66,94,47
22,85,71,79,5,38,39
61,29,31,17,9,1,33
62,95,59,49,93,40,66
52,25,84,23,98,57,97
22,98,39,47,97,10,82
14,81,80,23,20,85,74
79,9,11,20,39,3,74
99,81,7,70,25,23,87
33,29,5,15,59,26,41
50,54,27,52,90,30,35
76,97,49,11,23,90,99
49,37,81,62,91,93,73
84,27,64,60,66,78,94
49,49,11,97,62,3,86
15,20,31,24,47,61,69
57,39,54,6,67,72,76
39,3,59,37,21,69,24
11,5,20,32,72,58,7
72,34,16,91,73,98,38
27,49,64,1,51,90,20
96,14,79,41,40,17,69
56,58,41,31,80,26,51
44,43,2,33,92,22,91
97,34,59,37,84,73,95
61,72,69,47,59,26,61
66,30,87,35,34,3,41
89,19,19,94,99,10,35
56,70,27,10,49,11,23
85,98,46,3,74,8,38
32,44,55,69,9,91,35
98,58,90,17,52,73,39
27,22,14,39,21,42,9
28,2,29,10,52,79,47
68,31,21,25,83,42,65
1,64,40,8,82,16,82
39,43,2,14,69,29,74
84,43,34,17,53,76,16
3,72,29,57,81,64,45
56,66,38,93,14,87,95
27,87,48,52,38,44,74
56,26,42,53,98,57,41
67,55,94,2,80,71,12
89,16,10,25,16,9,22
19,48,13,99,17,1,40
5,32,15,98,57,18,93
51,42,53,14,40,88,92
24,76,67,25,87,29,25
18,17,69,81,50,30,79
87,53,35,77,78,11,58
98,44,16,6,50,68,24
24,33,45,17,36,66,94
55,66,25,61,50,20,31
43,20,30,89,38,61,24
62,12,67,24,50,83,20
99,38,71,61,65,64,83
9,69,82,26,23,49,98
76,65,35,84,60,7,20
20,33,28,90,66,68,32
3,6,8,93,84,40,2
76,54,17,52,5,46,23
35,44,8,23,3,18,85
91,31,75,72,61,72,84
82,57,90,49,73,31,47
48,77,49,88,97,32,16
48,72,72,34,62,42,98
96,17,25,71,81,66,24
3,82,17,92,4,46,36
22,99,3,31,50,83,25
31,70,11,88,95,40,38
70,5,28,76,77,7,73
86,42,41,66,57,8,64
99,52,80,27,23,52,32
60,44,29,35,96,51,29
12,9,24,45,62,45,31
68,94,9,6,24,33,36
1,2,99,19,12,22,56
23,87,81,72,89,8,94
56,70,54,5,22,91,72
7,20,27,29,50,27,16
92,51,30,70,74,8,38
24,93,62,27,67,39,87
92,75,22,28,81,36,71
35,69,69,58,49,63,24
82,45,24,39,35,82,31
5,55,40,49,71,68,80
85,72,57,55,57,55,27
9,52,80,13,26,31,18
75,87,48,90,46,61,50
46,51,26,94,75,60,87
17,21,40,61,1,89,14
38,88,5,14,10,61,8
26,99,1,23,80,5,14
93,61,48,32,78,87,4
47,97,84,27,89,23,9
79,21,82,36,73,98,51
17,59,80,96,35,21,11
41,57,13,72,30,1,22
53,65,13,11,34,22,99
39,47,90,71,96,68,83
17,53,10,1,17,38,95
25,38,17,12,23,47,78
48,87,88,58,82,29,6
59,63,99,22,92,21,40
60,85,33,67,10,2,48
28,47,37,82,87,47,37
11,1,15,71,44,32,89
20,65,7,6,14,60,87
92,1,77,12,94,82,31
59,25,75,35,62,41,69
61,95,29,6,31,7,11
41,65,12,90,86,58,14
14,51,72,96,91,49,33
55,52,49,38,96,93,77
76,80,11,11,96,44,42
72,95,95,31,25,57,48
36,69,16,53,77,19,65
84,31,31,94,27,87,74
41,2,42,21,36,28,79
79,82,60,38,34,27,1
93,83,37,82,33,64,47
33,1,81,64,8,48,11
87,79,16,15,64,67,38
41,4,80,35,74,35,11
46,29,23,95,58,32,41
68,27,57,3,41,50,83
31,11,30,9,29,59,16
25,77,54,78,78,45,31
53,45,57,46,72,36,12
62,43,84,80,45,23,38
56,16,83,55,86,89,29
96,19,92,5,24,76,97
84,80,84,28,21,32,13
48,37,12,2,36,33,34
45,42,66,20,52,25,1
59,7,23,21,98,5,87
94,64,91,74,37,85,35
16,89,56,78,44,6,79
44,76,14,18,89,98,63
87,74,66,32,23,83,73
31,96,27,1,15,24,51
96,6,33,24,66,54,81
68,67,24,40,18,69,63
23,90,98,49,78,30,14
7,82,55,27,39,9,25
72,95,29,44,88,28,46
85,7,80,46,44,77,44
62,19,55,86,60,97,92
11,28,84,83,99,57,16
74,72,25,47,60,88,28
43,5,44,89,87,49,63
97,64,74,83,65,12,52
67,6,86,70,18,13,71
81,20,4,99,43,4,76
41,98,10,21,84,96,50
53,60,24,41,32,85,13
85,22,33,82,55,85,92
47,13,8,40,74,28,56
75,88,89,58,9,17,79
2,81,12,87,59,86,66
43,55,42,75,99,11,35
79,54,10,78,56,41,51
88,73,63,7,7,8,19
2,29,56,68,1,21,45
66,91,44,18,68,14,93
58,79,19,34,20,89,95
39,86,59,30,18,39,10
43,71,61,26,72,31,18
8,31,28,40,37,82,57
80,57,75,76,32,9,90
43,81,98,17,63,95,11
79,71,2,46,3,73,16
26,77,53,63,37,45,56
7,4,62,29,55,33,27
80,95,90,29,90,1,57
28,35,78,17,95,49,79
5,90,56,71,56,83,50
8,66,1,72,82,33,44
72,71,68,65,22,32,97
77,67,64,76,38,55,52
20,78,27,33,41,17,15
5,92,99,21,91,7,44
57,22,96,57,69,50,80
47,11,22,62,1,85,2
56,60,42,51,80,7,32
23,37,68,91,17,78,90
78,40,17,97,99,15,66
88,68,14,21,12,19,30
81,75,93,46,93,45,8
30,43,93,69,1,6,87
75,34,67,84,80,45,85
38,48,8,80,64,30,98
85,16,3,86,8,22,96
75,62,48,81,65,85,35
61,82,3,5,13,78,64
94,21,42,15,37,94,4
73,31,28,14,8,47,4
82,27,85,18,41,16,89
85,3,37,31,93,10,36
29,35,73,29,33,18,22
71,19,75,69,35,18,48
68,77,82,41,93,79,87
9,46,76,5,86,27,98
71,40,98,53,29,75,18
21,22,25,13,39,19,70
86,73,69,71,23,55,91
82,71,22,36,60,1,18
44,75,75,54,58,78,27
91,81,79,62,30,15,80
21,82,44,58,27,12,9
19,94,82,56,20,79,41
65,42,61,70,81,73,52
12,9,93,59,14,95,81
11,57,77,45,7,82,28
49,25,36,8,64,83,21
2,81,71,55,76,12,46
91,9,45,40,67,69,40
98,49,2,30,47,6,19
55,40,2,62,50,12,24
32,65,25,19,84,15,71
27,83,47,60,29,95,70
41,93,85,19,20,62,95
61,96,78,43,53,91,92
50,99,99,99,11,88,21
80,18,63,7,25,65,55
56,90,84,79,65,63,13
1,39,39,41,13,49,5
41,71,65,1,21,69,63
19,5,47,67,42,41,11
60,46,42,46,25,50,87
14,22,34,49,54,33,25
54,6,57,72,76,1,58
77,99,17,49,10,89,34
93,38,9,17,47,72,92
26,21,83,74,2,46,31
55,14,32,86,65,18,21
46,93,54,98,72,69,49
93,59,95,53,56,6,58
16,47,76,21,20,62,31
51,1,44,31,85,19,9
56,9,21,92,56,98,86
17,58,52,54,47,25,99
23,53,18,63,46,23,91
47,41,56,30,38,22,58
65,65,84,5,88,63,35
35,73,84,32,85,80,50
76,78,84,1,4,31,61
76,46,34,90,77,89,77
15,86,76,63,32,85,67
69,29,55,36,78,30,97
10,30,22,62,93,22,82
35,88,37,32,8,46,3
28,5,28,60,62,17,39
75,31,42,1,46,42,68
42,12,79,18,92,87,84
58,18,45,63,88,66,10
4,27,37,81,97,96,39
10,79,86,57,96,59,23
65,72,76,69,27,31,34
23,53,28,47,98,30,72
54,54,9,85,45,72,75
95,55,42,16,12,38,34
26,86,86,25,4,9,34
95,98,43,38,42,88,60
61,82,88,88,71,82,14
29,37,10,56,19,57,38
11,25,39,53,89,94,82
52,26,89,76,75,75,67
62,41,53,44,84,71,4
73,86,76,64,14,9,82
58,5,79,89,42,20,64
79,84,69,81,56,95,70
22,42,99,25,53,80,20
82,28,27,67,30,9,60
20,4,10,29,63,76,22
93,63,36,92,60,1,75
26,66,68,34,40,20,19
97,76,44,22,94,82,58
5,46,97,92,22,66,11
42,24,29,45,55,55,72
19,94,95,92,59,35,68
17,9,89,40,64,9,23
73,24,55,59,86,58,75
38,79,63,4,9,34,81
18,85,87,99,8,20,52
70,38,93,88,47,4,21
99,60,55,37,43,15,31
92,75,23,95,96,22,42
6,81,2,4,8,27,1
31,18,23,82,16,67,63
5,78,91,13,3,62,6
72,29,85,32,40,36,37
81,13,43,40,81,40,65
19,88,22,30,98,10,17
53,38,94,59,72,39,66
51,73,46,36,38,51,50
36,53,14,12,14,7,99
26,4,97,34,69,6,46
2,63,39,79,82,24,2
77,15,79,69,6,31,29
51,69,44,62,12,80,43
68,41,79,8,55,61,72
66,50,48,25,76,89,89
41,15,55,94,36,43,56
74,64,47,29,31,20,37
92,56,36,27,12,84,81
83,8,13,27,94,61,63
9,16,77,20,60,72,74
96,57,9,29,9,18,81
74,7,63,86,60,9,87
13,95,27,55,2,45,23
91,95,18,14,26,65,69
79,43,70,20,95,10,18
67,32,35,27,80,22,20
92,43,39,64,27,33,42
33,29,26,24,72,2,84
14,18,72,90,19,8,19
52,42,26,39,56,81,70
45,8,20,68,1,53,98
74,23,94,37,71,87,9
83,75,29,52,83,73,90
60,19,89,57,54,66,11
22,77,40,95,79,48,88
96,12,15,95,79,60,36
90,11,65,92,63,57,84
1,77,55,71,67,61,9
81,67,46,83,66,42,56
63,15,15,84,15,11,10
41,34,62,79,48,11,67
30,52,31,20,31,20,27
61,90,93,39,96,80,32
98,49,13,66,87,9,84
22,94,30,6,24,95,4
26,43,58,39,86,26,80
1,58,91,17,23,92,64
32,17,3,31,58,69,60
59,38,99,30,22,81,66
64,77,44,51,22,48,70
14,12,46,53,1,87,25
20,65,15,3,79,2,48
90,98,41,70,17,75,37
62,34,2,89,43,50,68
30,44,99,15,87,55,32
99,87,64,14,82,30,47
20,32,91,85,12,87,51
55,25,64,96,62,93,59
8,41,41,53,58,28,29
52,84,62,93,92,22,44
7,62,96,83,6,83,48
25,53,67,78,34,22,22
81,9,10,71,55,65,99
97,65,61,20,89,68,11
19,65,55,40,59,2,95
75,87,83,3,18,80,64
93,7,21,16,28,64,99
49,62,86,18,1,6,36
33,33,13,70,49,76,10
48,96,39,66,36,60,28
72,78,16,66,3,24,47
8,44,96,55,63,33,18
40,86,8,27,67,39,26
60,35,21,78,97,90,4
74,3,81,73,88,46,43
55,29,90,86,4,78,52
87,5,90,49,83,33,56
64,45,2,37,53,72,47
97,87,7,65,72,46,81
78,20,34,18,18,12,75
90,44,27,37,18,75,26
31,72,98,10,71,24,68
47,46,93,3,34,85,98
97,10,74,28,17,4,5
8,78,23,73,63,31,32
31,73,99,32,1,44,32
24,96,55,99,49,51,58
3,76,60,91,35,77,88
78,28,36,33,11,2,79
98,32,81,37,73,11,92
35,27,71,56,68,14,30
22,17,27,10,48,27,33
32,43,10,98,2,52,47
24,88,43,49,12,6,93
5,40,10,6,34,57,11
15,91,95,1,2,77,41
70,43,72,15,84,18,27
64,25,95,49,64,44,65
90,95,17,95,45,33,70
57,8,11,30,14,14,6
91,43,3,10,7,2,82
54,4,78,4,79,16,41
27,74,38,88,26,89,82
91,81,14,24,48,75,18
